Pop04;PopChange;MedAge;MedIncome;MedHVal;MedRent;Unemployment;CostOfLiving;HispRate;AsianRate;BlackRate;AmerIndRate;LandArea;URL;CrawledTime;DbId;Year;TrueURL;City;Spalte1
11598;13.8;50.5;52141;494097;1146;4.8;101.8;13.1;0.0;1.9;0.0;18.6 ;http://web.archive.org/web/20111227181721/http://www.city-data.com:80/city/Sedona-Arizona.html;18.12.2016 22:38;207;2012;http://www.city-data.com/city/Sedona-Arizona.html;SEDONA, AZ;SEDONA, AZ2012
10031;-1.6;56.1;52141;494097;1146;4.8;101.7;14.3;1.8;0.5;0.5;18.6 ;http://web.archive.org/web/20130116051328/http://www.city-data.com:80/city/Sedona-Arizona.html;18.12.2016 22:38;208;2013;http://www.city-data.com/city/Sedona-Arizona.html;SEDONA, AZ;SEDONA, AZ2013
10037;-1.5;56.1;47396;374369;1088;5.8;101.7;8.7;0.4;1.0;0.4;18.6 ;http://web.archive.org/web/20140109033438/http://www.city-data.com:80/city/Sedona-Arizona.html;18.12.2016 22:38;209;2014;http://www.city-data.com/city/Sedona-Arizona.html;SEDONA, AZ;SEDONA, AZ2014
10037;-1.5;56.1;48578;379452;1051;6.0;102.5;9.6;0.8;0.5;1.5;18.6 ;http://web.archive.org/web/20141223180032/http://www.city-data.com:80/city/Sedona-Arizona.html;18.12.2016 22:38;210;2015;http://www.city-data.com/city/Sedona-Arizona.html;SEDONA, AZ;SEDONA, AZ2015
13180;6.7;35.2;54848;193164;761;3.5;97.7;2.0;1.0;0.4;0.0;3.96 ;http://web.archive.org/web/20111228213425/http://www.city-data.com:80/city/Stoughton-Wisconsin.html;18.12.2016 22:38;211;2012;http://www.city-data.com/city/Stoughton-Wisconsin.html;STOUGHTON, WI;STOUGHTON, WI2012
12640;2.3;39.2;54848;193164;761;3.5;97.8;1.8;1.3;1.4;0.2;3.96 ;http://web.archive.org/web/20130203065334/http://www.city-data.com/city/Stoughton-Wisconsin.html;18.12.2016 22:38;212;2013;http://www.city-data.com/city/Stoughton-Wisconsin.html;STOUGHTON, WI;STOUGHTON, WI2013
12927;4.6;39.2;58681;190620;818;4.2;98.1;1.8;1.3;1.4;0.2;3.96 ;http://web.archive.org/web/20131204191100/http://www.city-data.com/city/Stoughton-Wisconsin.html;18.12.2016 22:38;213;2014;http://www.city-data.com/city/Stoughton-Wisconsin.html;STOUGHTON, WI;STOUGHTON, WI2014
12927;4.6;39.2;58286;189799;818;4.6;98.0;1.8;1.3;1.4;0.2;3.96 ;http://web.archive.org/web/20141223173014/http://www.city-data.com:80/city/Stoughton-Wisconsin.html;18.12.2016 22:38;214;2015;http://www.city-data.com/city/Stoughton-Wisconsin.html;STOUGHTON, WI;STOUGHTON, WI2015
32940;0.0;73.2;43830;181267;1071;7.4;97.0;0.4;0.5;0.6;0.0;11.1 ;http://web.archive.org/web/20111222173859/http://www.city-data.com:80/city/Sun-City-West-Arizona.html;18.12.2016 22:38;215;2012;http://www.city-data.com/city/Sun-City-West-Arizona.html;SUN CITY WEST, AZ;SUN CITY WEST, AZ2012
24535;-6.9;75.6;43830;181267;1071;7.4;96.6;1.2;0.6;0.8;0.1;11.1 ;http://web.archive.org/web/20130128204415/http://www.city-data.com/city/Sun-City-West-Arizona.html;18.12.2016 22:38;216;2013;http://www.city-data.com/city/Sun-City-West-Arizona.html;SUN CITY WEST, AZ;SUN CITY WEST, AZ2013
24535;-6.9;75.6;42524;148907;1029;10.0;96.2;0.5;1.6;0.3;0.2;11.1 ;http://web.archive.org/web/20131119085650/http://www.city-data.com:80/city/Sun-City-West-Arizona.html;18.12.2016 22:38;217;2014;http://www.city-data.com/city/Sun-City-West-Arizona.html;SUN CITY WEST, AZ;SUN CITY WEST, AZ2014
24535;-6.9;75.6;43748;157183;1153;7.4;96.3;0.7;1.6;0.4;0.1;11.1 ;http://web.archive.org/web/20150219054618/http://www.city-data.com:80/city/Sun-City-West-Arizona.html;18.12.2016 22:38;218;2015;http://www.city-data.com/city/Sun-City-West-Arizona.html;SUN CITY WEST, AZ;SUN CITY WEST, AZ2015
47901;0.0;75.0;33632;129501;1050;7.0;94.7;2.1;0.7;1.0;0.0;14.5 ;http://web.archive.org/web/20111222180925/http://www.city-data.com:80/city/Sun-City-Arizona.html;18.12.2016 22:38;219;2012;http://www.city-data.com/city/Sun-City-Arizona.html;SUN CITY, AZ;SUN CITY, AZ2012
37499;-2.1;73.4;33632;129501;1050;7.0;94.3;2.8;0.6;1.4;0.2;14.5 ;http://web.archive.org/web/20130106153011/http://www.city-data.com:80/city/Sun-City-Arizona.html;18.12.2016 22:38;220;2013;http://www.city-data.com/city/Sun-City-Arizona.html;SUN CITY, AZ;SUN CITY, AZ2013
37499;-2.1;73.4;33279;104647;1000;12.7;94.0;3.2;0.6;1.7;0.3;14.5 ;http://web.archive.org/web/20131116025000/http://www.city-data.com:80/city/Sun-City-Arizona.html;18.12.2016 22:38;221;2014;http://www.city-data.com/city/Sun-City-Arizona.html;SUN CITY, AZ;SUN CITY, AZ2014
37499;-2.1;73.4;34899;105678;1011;14.5;94.0;2.9;0.5;1.9;0.4;14.5 ;http://web.archive.org/web/20150103082621/http://www.city-data.com:80/city/Sun-City-Arizona.html;18.12.2016 22:39;222;2015;http://www.city-data.com/city/Sun-City-Arizona.html;SUN CITY, AZ;SUN CITY, AZ2015
29021;42.5;32.9;60455;215847;826;3.9;98.0;4.3;2.1;3.7;0.0;9.55 ;http://web.archive.org/web/20120103083053/http://www.city-data.com:80/city/Sun-Prairie-Wisconsin.html;18.12.2016 22:39;223;2012;http://www.city-data.com/city/Sun-Prairie-Wisconsin.html;SUN PRAIRIE, WI;SUN PRAIRIE, WI2012
29364;44.2;33.3;60455;215847;826;3.9;98.1;4.3;3.7;6.1;0.2;9.55 ;http://web.archive.org/web/20121202035935/http://www.city-data.com/city/Sun-Prairie-Wisconsin.html;18.12.2016 22:39;224;2013;http://www.city-data.com/city/Sun-Prairie-Wisconsin.html;SUN PRAIRIE, WI;SUN PRAIRIE, WI2013
30403;49.3;33.3;64713;208368;915;5.1;98.4;4.2;2.3;5.1;0.07;9.55 ;http://web.archive.org/web/20131203104009/http://www.city-data.com/city/Sun-Prairie-Wisconsin.html;18.12.2016 22:39;225;2014;http://www.city-data.com/city/Sun-Prairie-Wisconsin.html;SUN PRAIRIE, WI;SUN PRAIRIE, WI2014
30403;49.3;33.3;63690;203800;933;3.9;98.3;4.5;3.3;5.3;0.2;9.55 ;http://web.archive.org/web/20150215081705/http://www.city-data.com:80/city/Sun-Prairie-Wisconsin.html;18.12.2016 22:39;226;2015;http://www.city-data.com/city/Sun-Prairie-Wisconsin.html;SUN PRAIRIE, WI;SUN PRAIRIE, WI2015
94899;207.6;46.1;57153;203300;1232;5.7;94.6;19.3;2.2;3.5;0.0;69.5 ;http://web.archive.org/web/20111216202101/http://www.city-data.com:80/city/Surprise-Arizona.html;18.12.2016 22:39;227;2012;http://www.city-data.com/city/Surprise-Arizona.html;SURPRISE, AZ;SURPRISE, AZ2012
117517;281.0;36.8;57153;203300;1232;5.7;94.3;18.5;2.5;4.8;0.5;69.5 ;http://web.archive.org/web/20121218022838/http://www.city-data.com:80/city/Surprise-Arizona.html;18.12.2016 22:39;228;2013;http://www.city-data.com/city/Surprise-Arizona.html;SURPRISE, AZ;SURPRISE, AZ2013
121287;293.2;36.8;51892;160400;1097;5.7;92.7;18.5;2.5;4.8;0.5;69.5 ;http://web.archive.org/web/20131217112425/http://www.city-data.com:80/city/Surprise-Arizona.html;18.12.2016 22:39;229;2014;http://www.city-data.com/city/Surprise-Arizona.html;SURPRISE, AZ;SURPRISE, AZ2014
